23/07 09:02:18:726 Command Routing started
23/07 09:02:18:790 Starting process session
23/07 15:05:19:385 Command Routing started
23/07 15:05:19:498 Starting process session
23/07 15:11:49:921 Command Routing started
23/07 15:11:49:962 Starting process session
23/07 15:13:10:231 Command Routing started
23/07 15:13:10:293 Starting process session
23/07 15:13:40:565 Command Routing started
23/07 15:13:40:601 Starting process session
23/07 15:14:00:198 84967289993: CP - CP.MO
23/07 15:14:11:803 84967289993: CRM - CRM.REGIST_GO_SERVICES
23/07 15:14:11:884 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:11:985 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:19:626 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:19:727 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:19:738 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:19:839 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:19:840 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:19:941 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:19:942 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:055 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:056 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:151 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:152 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:253 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:254 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:357 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:368 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:459 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:470 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:571 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:572 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:636 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:668 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:669 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:670 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:671 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:672 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:673 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:674 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:675 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:676 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:677 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:678 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:679 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:730 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:731 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:732 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:733 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:734 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:736 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:737 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:738 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:739 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:740 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:741 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:742 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:743 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:744 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:745 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:746 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:777 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:778 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:779 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:780 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:781 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:782 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:783 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:784 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:835 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:836 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:837 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:838 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:839 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:841 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:842 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:843 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:844 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:845 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:846 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:847 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:848 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:849 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:850 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:851 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:872 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:873 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:874 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:875 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:876 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:877 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:878 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:879 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:930 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:931 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:932 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:934 84967289993: VT8X26 - VT8X26.SENDSMS
